                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 0.7162,                0.76462,                 1.1206,                0.63421,                      1,                0.82833,                0.51358,                 1.3363,                 1.4313,                 1.2377,              0.0015248,              0.0015248,              0.0015248
                    122,                0.53999,                0.63466,                0.99099,                0.63421,                      1,                0.82833,                0.51358,                 1.3363,                 1.4313,                 1.2377,              0.0015208,              0.0015208,              0.0015208
                    123,                0.64418,                0.67332,                 1.0182,                0.63421,                      1,                0.82833,                0.51358,                 1.3363,                 1.4313,                 1.2377,              0.0015169,              0.0015169,              0.0015169
                    124,                0.52272,                0.62826,                0.94738,                      1,                0.99244,                  0.995,                0.54986,                 1.2216,                 1.2497,                  1.348,              0.0015129,              0.0015129,              0.0015129
                    125,                0.59121,                 0.6409,                 1.0056,                      1,                0.99244,                  0.995,                0.54986,                 1.2216,                 1.2497,                  1.348,               0.001509,               0.001509,               0.001509
                    126,                0.64116,                0.69654,                 1.0257,                      1,                0.99244,                  0.995,                0.54986,                 1.2216,                 1.2497,                  1.348,               0.001505,               0.001505,               0.001505
                    127,                0.67594,                0.73541,                 1.0825,                      1,                0.99244,                  0.995,                0.54986,                 1.2216,                 1.2497,                  1.348,               0.001501,               0.001501,               0.001501
                    128,                0.62431,                0.65428,                 1.0155,                      1,                0.96514,                  0.995,                0.63842,                 1.1718,                 1.5751,                 1.3367,              0.0014971,              0.0014971,              0.0014971
                    129,                0.51363,                0.62395,                0.97435,                      1,                0.96514,                  0.995,                0.63842,                 1.1718,                 1.5751,                 1.3367,              0.0014931,              0.0014931,              0.0014931
                    130,                0.64173,                0.64245,                 1.0433,                      1,                0.96514,                  0.995,                0.63842,                 1.1718,                 1.5751,                 1.3367,              0.0014892,              0.0014892,              0.0014892
                    131,                0.49127,                0.59958,                  0.966,                      1,                0.96514,                  0.995,                0.63842,                 1.1718,                 1.5751,                 1.3367,              0.0014852,              0.0014852,              0.0014852
                    132,                 0.5756,                0.66193,                0.97102,                0.31927,                 0.7309,                 0.4475,                0.33809,                 1.2491,                 1.8741,                  1.527,              0.0014812,              0.0014812,              0.0014812
                    133,                0.55995,                0.64594,                0.93419,                0.31927,                 0.7309,                 0.4475,                0.33809,                 1.2491,                 1.8741,                  1.527,              0.0014773,              0.0014773,              0.0014773
                    134,                0.53058,                0.62248,                0.99207,                0.31927,                 0.7309,                 0.4475,                0.33809,                 1.2491,                 1.8741,                  1.527,              0.0014733,              0.0014733,              0.0014733
                    135,                0.64775,                0.62892,                 1.0413,                0.31927,                 0.7309,                 0.4475,                0.33809,                 1.2491,                 1.8741,                  1.527,              0.0014694,              0.0014694,              0.0014694
                    136,                0.59975,                0.62634,                 1.0527,                0.61256,                0.83767,                0.82833,                0.51383,                 1.3209,                 1.9233,                 1.5404,              0.0014654,              0.0014654,              0.0014654
                    137,                0.59739,                0.60425,                0.92776,                0.61256,                0.83767,                0.82833,                0.51383,                 1.3209,                 1.9233,                 1.5404,              0.0014614,              0.0014614,              0.0014614
                    138,                0.56201,                0.64413,                 1.0278,                0.61256,                0.83767,                0.82833,                0.51383,                 1.3209,                 1.9233,                 1.5404,              0.0014575,              0.0014575,              0.0014575
                    139,                0.57786,                0.67856,                 1.0401,                0.61256,                0.83767,                0.82833,                0.51383,                 1.3209,                 1.9233,                 1.5404,              0.0014535,              0.0014535,              0.0014535
                    140,                0.57773,                0.63916,                 1.0319,                0.73726,                    0.5,                  0.745,                0.57109,                 1.1647,                  1.802,                 1.4725,              0.0014496,              0.0014496,              0.0014496
